Country,Time,Value
Türkiye,2014,35452.0
Türkiye,2015,39320.0
Türkiye,2016,47023.0
Türkiye,2017,51346.0
Türkiye,2018,59646.0
Türkiye,2019,72577.0
Türkiye,2020,81782.0
Colombia,2005,11985633.0
Colombia,2006,13715260.0
Colombia,2007,14292329.0
Colombia,2008,16519681.0
Colombia,2009,17835266.0
Colombia,2010,18852382.0
Colombia,2011,19803918.0
Colombia,2012,21016669.0
Colombia,2013,21931930.0
Colombia,2014,22641366.0
Colombia,2015,24141708.0
Colombia,2016,25482438.0
Colombia,2017,27083561.0
Colombia,2018,29058069.0
Colombia,2019,30108966.0
Colombia,2020,34865307.0
Colombia,2021,33612277.5588083
Costa Rica,2000,1782468.91736297
Costa Rica,2001,2006525.71266625
Costa Rica,2002,2245841.80808868
Costa Rica,2003,2433363.30028074
Costa Rica,2004,2792735.67220434
Costa Rica,2005,2937090.0
Costa Rica,2006,3463752.0
Costa Rica,2007,3810330.0
Costa Rica,2008,4446661.0
Costa Rica,2009,5154273.0
Costa Rica,2010,5631438.0
Costa Rica,2011,6178669.0
Costa Rica,2012,6484106.0
Costa Rica,2013,7280101.0
Costa Rica,2014,7666969.0
Costa Rica,2015,8268797.0
Costa Rica,2016,8727305.0
Costa Rica,2017,8891675.0
Costa Rica,2018,9347486.0
Costa Rica,2019,9846887.0
Costa Rica,2020,10894819.0
Costa Rica,2021,11085732.361113
