"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.475,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",112.5686,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",114.7902,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2018M12_100","2018M12=100",86.85904,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2018M12_100","2018M12=100",98.24546,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2018M12_100","2018M12=100",98.92175,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2018M12_100","2018M12=100",99.7429,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2018M12_100","2018M12=100",104.613,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2018M12_100","2018M12=100",110.4207,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2018M12_100","2018M12=100",121.1599,,
"COL","Colombia","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2022","2022","IDX","Index","0","Units","2018M12_100","2018M12=100",151.4028,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.127494,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.790731,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.44101,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.385965,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.99966,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.282039,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.898227,,
"COL","Colombia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2022","2022","PC","Percentage","0","Units",,,5.799147,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.2524458,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.339473,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.840857,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.617756,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.943207,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.297299,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,-0.4468813,,
"CHE","Switzerland","CP030000","CPI: 03 - Clothing and footwear","GP","Percentage change from previous period","A","Annual","2022","2022","PC","Percentage","0","Units",,,1.993294,,
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.960103,,
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.3,,
"NOR","Norway","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.057115,,
