"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2015-Q1","Q1-2015","IDX","Index","0","Units","2015_100","2015=100",100.7309,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2015-Q2","Q2-2015","IDX","Index","0","Units","2015_100","2015=100",100.6813,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2015-Q3","Q3-2015","IDX","Index","0","Units","2015_100","2015=100",99.55052,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2015-Q4","Q4-2015","IDX","Index","0","Units","2015_100","2015=100",99.06291,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2016-Q1","Q1-2016","IDX","Index","0","Units","2015_100","2015=100",98.5874,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2016-Q2","Q2-2016","IDX","Index","0","Units","2015_100","2015=100",98.14335,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2016-Q3","Q3-2016","IDX","Index","0","Units","2015_100","2015=100",97.55209,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2016-Q4","Q4-2016","IDX","Index","0","Units","2015_100","2015=100",97.46481,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2017-Q1","Q1-2017","IDX","Index","0","Units","2015_100","2015=100",97.90421,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2017-Q2","Q2-2017","IDX","Index","0","Units","2015_100","2015=100",98.53002,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2017-Q3","Q3-2017","IDX","Index","0","Units","2015_100","2015=100",98.68354,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","Q","Quarterly","2017-Q4","Q4-2017","IDX","Index","0","Units","2015_100","2015=100",98.74764,,
